stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0.56,1.13,0.28,0.28,0,0,0,0,3.95,2.54,0,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0,0,0,12.58,0.37,0,0.37,0,0,0.37,0,0,0,1.48,0,0,1.85,1.85,2.22,0,0,0.74,0,0.74,0,0.37,0,0,0.37,0.74,0,0,0,0,0,0,0.74
3Month,0,0.42,2.08,23.82,0,0.52,0.21,0,12.48,12.38,0,6.35,4.68,1.35,24.13,1.25,1.66,10.61,1.77,0.52,0,0.42,1.46,0.73,0.21,1.14,0.1,0,0,0.42,0.1,20.39,0.1,0,0.62,3.95,17.16
22Month,0.27,5.06,4.1,31.43,0,1.09,1.78,0.14,8.75,82.26,3.01,31.98,9.43,6.42,34.44,1.23,2.6,30.2,5.33,0.14,0.82,2.6,0.14,0.82,0.14,0.82,0.14,0.41,0.27,0.14,0,6.15,0.27,0.27,0.55,0,7.52
