stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,5.64,0,0,0,0,0,0,0,0,0,0,0,72.15,1.97,0,2.25,0,0.56,0.85,0,10.99,4.51,0,0,0,1.69,0,0,0.56,0,1.13,0,0,0
21Day,0.74,0,11.1,82.88,4.07,0,0.37,0,21.83,0.37,0,6.66,0.37,1.48,68.08,2.96,8.51,9.62,5.55,0,0.74,3.33,0,10.73,3.33,11.47,0,0,2.96,2.96,0.37,0.74,1.11,0.37,0,0,0.74
3Month,0.21,1.14,23.92,120.04,0,1.87,0.21,0.1,153.84,3.74,0,25.07,6.55,0.31,333.69,2.08,5.3,21.43,4.99,1.14,0,101.73,1.35,0.94,0,11.55,0.52,0,0.21,3.74,4.16,0.1,0,0.1,0.83,3.22,3.74
22Month,0,2.32,35.53,40.17,0,0.68,0.14,0,100.85,2.87,2.32,36.76,1.91,0.27,416.92,0,0.27,7.52,3.42,0,0.68,40.04,0,0.14,0.27,10.66,1.23,0.55,0.14,0.68,1.09,0,0,0,0,0,1.09
