stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,71,1,0,0,0,0,0,0,0,1,0,0,0
72hpf,6.2,0.85,0,1.41,0.56,3.1,0,0,0,0,0,0,0,1.41,5.92,0.56,7.61,0,0.56,0.56,433.48,91.88,0.28,2.25,5.64,0,0.28,15.22,0.28,1.13,0.28,0,0,0
21Day,1.48,0.37,0,2.59,0.74,1.85,0,0,0,0,0,0.74,0,0,1.48,0.37,5.55,0,0,0,74,21.83,0,0.74,2.22,2.22,0.37,5.18,0.37,0.37,1.85,0.37,0,0.37
3Month,0,0.1,0,1.35,0.42,0,0.52,0.1,0,1.25,0.1,0.21,0.21,0,0.1,0.1,1.56,1.14,0,0.21,1.35,0.52,0.21,1.04,0,0.31,3.22,0.1,0,0,0.1,12.59,4.16,0.21
22Month,0,0,0.14,0.55,0.14,0,0.14,0.27,0,3.69,0,0,0.14,0,0.14,0.14,0.55,0,0,0,0.27,0,0.14,0.96,0,0,4.51,0.41,0,0,0.14,0.96,0,0.27
