stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0.56,5.64,0.28,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0
21Day,0,0,0,6.66,0.74,0,0.74,0,0,0.37,0,0.37,0,0.37,0.37,79.18,2.59,0,0,0.37,0,0.74,0,0,0,1.48,0,0,0,0
3Month,0.1,0,0.1,10.09,0,0.1,22.99,0.52,0,4.06,1.25,0,1.87,0.1,0.62,17.37,1.04,0.1,0,1.14,0.31,0.1,0.31,0,0.21,0.21,0.31,0,0.1,0.42
22Month,0,0.68,0.14,6.42,0,0,5.06,0.96,0.27,2.32,0.55,0,0.41,0,0.14,65.73,0.27,0,0.14,1.64,0.14,0,0,0.27,0,0.14,0,0,0,0.27
