stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,11.56,1.69,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0.74,0,0,0.74,0.37,0.74,0.37,0,0,0,0,0.74,0,0,0,0,0,0,0,7.03,0.37,0,0.74,0,0,0,0,0.37,0,0,0
3Month,0,0,0,0.73,0,0,0.1,0,0.1,1.77,0,0,0.94,0.1,0.31,0.52,0.21,0.21,0.1,0.1,0,0,0.1,0,0.21,0.94,0,0,0.1,0.52,2.7
22Month,0,0.55,0.14,0.68,0,0,0.14,0.14,0.27,3.69,0.14,0.27,0.41,0.55,0.96,0.82,0,0.27,0,0.14,0,0.14,0.14,0,0,0.14,0.14,0,0,0,1.91
