stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,3.1,0.28,0,0,0,0,2.25,0.56,0.56,0.28,0,0,0,0.56,0,0,0
21Day,0.37,0.37,1.48,0.37,0.74,0.37,0,0,0,0.37,2.96,0,1.11,14.06,6.29,2.22,0,0,0,1.11,0,1.11,0.37,0.37,0,0.37,0.74,0,0,21.46
3Month,0,0.1,0.52,0,0,0.1,1.25,0,0.52,3.02,0,0,0.1,0.73,1.35,0.73,0.21,0.21,0.1,0.21,0,3.12,0,0.1,0.1,0.21,0,0.21,0.21,4.16
22Month,0,0.27,0.27,0,0,0,3.69,0.14,1.37,1.23,0,0.14,0,0.27,8.06,1.23,0,0,0,0.14,0,1.23,0,0,0.41,0.41,0,0,0,5.47
