stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,5,5,0,14,1,0,0,0,0,0,1,0,0,0,0,0,3,3,186,0,0,0,1,56,944,0,81,0,0,0,0,0,0,0,0
72hpf,11.27,1.69,0,3.66,0.85,10.99,0,0,0.28,0,0,0,0,0.28,0,1.69,16.63,2.54,38.05,0,0.85,0.56,0,598.08,768.32,0.56,93.01,0.28,0,20.57,0.85,0.56,1.97,0,0
21Day,1.48,0.37,0,3.7,0,4.44,0.74,0,0,0,0,0.37,0.37,1.11,0.37,0.37,1.85,0.37,9.99,0,0,0,0,76.22,177.59,0,4.81,4.81,0,2.96,1.11,1.85,0.74,0,0
3Month,0,0.42,0,0.83,0.1,0,0,0.1,0.31,0,0,1.35,0.1,0,0.94,0.21,0.31,0,0.31,0.1,0,0.62,0.21,0.42,1.56,0,0,0.1,0.42,0,0,0,0,0,0.1
22Month,0,0.41,0.27,0.41,0,0,0.27,0.14,0.14,0.27,0,6.56,0,0.14,0.41,0,0,0.27,0.41,0,0,0.27,0,0.55,0.82,0.27,0.14,0,0.14,0,0,0,0,0.27,0
