stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,1,1,0,0,0,33,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,1.13,5.07,0,1.13,0,1.13,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,2.59,0,0.74,0,2.59,0,0
3Month,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0.21,0
22Month,0,0.14,0.27,0.14,0.68,0.68,0,0.14,0.14,0.14,0,0.14,0,1.09,0.14,0.14,0,0,0.14
