stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0.37,0.37,0.37,1.48,0,0.37,0,0,0,0,39.59,0.74,0,0.37,0.74,1.11,0,0,0,0,2.22,0.37,0,0.74,1.11,0,0.74,0.37,0,0,41.44
3Month,0,0.21,0.1,2.18,0,0,0.73,0,0.21,1.14,2.29,2.08,0.94,1.14,0.21,0.62,3.43,0.94,0.52,0,0.1,0.31,0.31,0,0.1,0,0.42,1.35,0,0,0.31,0.42,65.84
22Month,0,0.41,0,1.09,0,0,0.14,0,0.27,0.14,3.14,0.14,0.68,0.14,0.27,0,4.65,0.82,0,0.14,0.14,0,0,0,0,0.14,0.27,0,0,0,0,0,22.82
