stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,3,0
72hpf,0.28,0,0,0,0,0,0.28,0.28,0,0.28,5.07,0.85,0.28,2.82,0.56,0,0
21Day,0,1.11,0,0.37,0.37,0.74,0,0.37,0.37,0.37,1.11,1.85,0,4.44,0.37,1.11,0
3Month,0,0,0.1,0.21,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0.1
22Month,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0
