stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,3.38,0,0,0.28,0.56,0.56,0,0,5.64,0,0,0.28,0,0.85,0,0,0
21Day,0.74,0,0,0.74,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0.37,0,9.25,0,0,3.33,1.48,1.11,0,0.37,1.48,0.37,0,0,0.37,1.11,0,0,0
3Month,0.52,1.14,0.21,16.85,0,0,0.21,0.1,0.94,0.21,1.87,0,2.18,1.14,0.1,0.73,0.31,34.64,1.14,40.25,7.91,0,2.29,0.21,0.21,0.31,0.1,0.1,0.83,1.04,0,0,0.73,1.46,0.31,0.52
22Month,0.41,0.68,0,4.92,0,0,0.14,0,0.41,0,0.68,0.55,4.1,0.14,0.14,0,0,5.6,0.68,31.84,0.41,0.14,0.55,0,0.14,0,0.14,0,0.27,0.14,0.14,0,0.41,1.23,0,0.14
