stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0.56,0,0,0,11.27,2.25,0.28,0,0,0,0,0,0.28,0,0,1.13,0,0
21Day,1.48,0,0,2.22,0,0,0,0,0,0,0,0,0,0.37,0.74,2.96,0.37,0,0,0,5.55,1.48,0.37,0,0,0.37,0.37,0,0,1.48,0.37,0.37,0,0
3Month,0.21,0.21,0.21,5.51,0.1,0.1,0.31,2.08,0.31,0,1.66,1.14,0.73,2.81,0.42,6.24,1.66,4.89,0.42,2.7,1.04,0.1,1.87,0.1,0,0.1,0.21,1.04,0,0,0,0,0.62,0.73
22Month,0,0.14,0.27,5.33,0,0.14,0,0.82,1.37,0.41,8.2,0.41,1.23,0.96,0.27,3.14,2.19,0.55,0.55,0.27,1.23,0,3.69,0.14,0.14,0,0.14,0.82,0.14,0.68,0,0,0.14,0.14
