stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.85,0,0,0,0,0,0,0,0
21Day,0,0,0,8.14,0,0,0,0,0,0.37,0.74,0,15.54,0,0.74,0,0,0,0.37,0.37,0,1.11,0,0,0,0,0.37
3Month,0.21,0.42,0.21,13.31,0.21,0.42,3.02,4.99,4.37,0.21,4.47,0.21,5.82,1.14,1.14,0.21,0,0.42,0.1,0,0.21,0,0.21,1.25,0.21,1.35,6.97
22Month,0.14,0.14,0.27,3.83,0.14,0.27,1.09,5.74,1.5,0,3.83,0,1.09,1.09,0.27,0,0.14,0,0.14,0,0.14,0,0,0.41,0,0,0.82
