stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,51.3,0.85,0,0.85,0.28,0.56,0,0,0,0,0,0,0.28,1.69,0,0.85,0.56,0.28,0,11.56,5.92,0,0,1.97,0,0,0.56,0,0.28,0,0,0
21Day,35.52,0,0,1.85,0,1.85,0.37,0,0,0.37,0,0.37,0,1.11,0.37,2.59,0.37,0,0,2.59,0.74,0,0,1.85,0,0,0,0.74,0,0,0,0
3Month,1.35,0,0.1,0.73,0,0,0,0.1,0.94,0.1,0,0.31,0,0.21,0.1,0,0,0,0.1,0.21,0,0,0,0,0.1,0.52,0,0,0,0.1,0.21,0.21
22Month,0.82,0.41,0.14,0.68,0,0,0.14,0.41,9.84,0.14,0.27,1.78,0,0,0.27,0.14,0,0.14,0,0,0,0.27,0.27,0,0,0.55,0.14,0,0,0,0,0
