stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hatching_gland,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Spermatocyte
24hpf,0,0,0,0,1,0,1,3,1,0,0,0
72hpf,0.28,0.56,0.28,0,0,0,21.7,0.56,0.28,0.56,0,0
21Day,0,0.37,0,0,0,0.37,4.07,0,0,0,0.37,0
3Month,0,0,0,0.1,0,0,0,0,0,0,0,0.21
22Month,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0
