stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,4.23,0.56,0,0,0.28,0,0,4.51,8.46,0
21Day,0.74,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0,1.11,0,0,0,2.22,0.74,0,0,0,0.74,0,17.02,97.68,0
3Month,0,0,0.1,1.66,0,0.1,0,0.21,0.21,0,5.41,0.83,0.1,1.04,0.21,0.62,0.1,0.62,0.21,0,0.21,0.52,0,0,0,0,0.42,0.31,0,0,0.31
22Month,0,1.09,0.68,2.73,0,0.27,0.41,0.96,1.78,0.96,58.9,1.5,0.55,3.69,0.14,0.27,1.91,3.55,0,2.46,0.14,0.41,0.14,0.27,0.14,0.14,0,0.68,1.5,0.14,0.68
