stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,1.13,0.28,0.85,0,0,0,0,0,0,0,0,0.28,1.13,0,1.13,0,0,0,0,64.83,7.61,0.56,0,0.56,0,0,6.48,0,0.28,0,0,0
21Day,0.37,0,0,1.11,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0,0,0,14.06,1.48,0,0,0,0,0.37,0.37,0.37,0,0,0,0
3Month,0.1,0.52,0.42,7.18,0,0,0.21,0.21,1.46,1.25,7.91,1.25,0.1,2.6,1.35,0.94,1.46,1.14,0.1,0.1,0.62,0.94,3.02,0.1,0.73,0.42,0,1.04,6.55,0.21,0,0,0.42,253.18,0.94
22Month,0,0.14,0,2.05,0,0,0,0,0,0.14,1.5,0.14,0,0.14,0,0,0.41,0.14,0,0,0.14,0,0.68,0,0,0,0,0.14,5.06,0.27,0,0.14,0,1.23,0.14
