stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,7,8,0,0,0,14,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.97,1.13,0,0,0,0,0,0,0.28,0,0,0,0.28,1.69,0,21.7,0,0.28,0,16.91,1.41,0,0,0,91.04,0.28,0,0.85,0,0,0,0
21Day,0.37,0,0.37,11.47,0.74,1.48,0,0,0,0,0,0,0,0,0,0.74,1.85,0.74,38.48,0,0.37,0,11.47,1.11,0,0,0,37.37,0.74,1.48,0.37,0.37,0,0,1.11
3Month,0.1,0.21,0.1,4.16,0.1,0,0.1,0.21,1.14,0,0,1.98,0.62,0.1,1.35,0.31,0.73,0.73,36.3,2.08,1.25,0.21,0,0,0.1,0.21,0,17.27,0.73,10.09,0,0,0.62,5.62,0.73
22Month,0,0,0,1.64,0,0,0.14,0,0.14,0.27,0,3.28,0.27,0,0.82,0,0,0.68,6.83,0,0.55,0,0.27,0,0.14,0,0.27,6.29,0,5.74,0.14,0.14,0.14,0.14,0.14
