stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0.85,0,0,0,0,0,0,1.69,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,1.48,0,0,0,0,0,0.37,0,0,0,1.48,0,0,1.11,0,0,0.37,0,3.7,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0,0.52,0.42,6.24,0.1,0.31,1.66,1.04,0,10.4,1.98,0.31,2.39,24.44,1.66,1.14,1.77,0.52,0.21,0.62,0.52,0.42,0,0.21,0.21,0.94,4.37,0,0,0.21,1.56,0.94
22Month,0.14,0.96,1.37,5.33,0,0.41,1.37,1.37,0.68,20.5,0.82,0.27,1.23,9.84,0.14,0.96,1.64,0,0.68,0.55,0,0.14,0,0.27,0.14,0.14,2.46,0.14,0,0,0,0.68
