stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,5,3,14,0,0,0,0,2,64,0,3,0,0,0,0,0,0,0,0
72hpf,0.85,1.69,2.54,2.25,1.13,0,0,0,0,0,0,0,0,0,0.56,15.22,0.28,25.93,0,0,0,0,10.43,15.22,0,20.01,0.28,0.28,1.41,0,0,0,0,0
21Day,2.96,0.74,3.33,1.11,1.11,0,0.74,0,0.37,0,0,0,0.37,0,0.74,1.48,0.37,77.7,0,0,1.85,0,5.55,6.29,0,12.21,1.48,0.37,0.37,1.48,0.74,0,0,0
3Month,0,0.94,2.91,0.1,0,0.21,0,0.52,0.94,0,1.56,0.31,0.1,0.94,0,0.73,0.31,31.93,0.1,0,0.31,0.1,0.31,0,0.31,0,0.31,11.13,0,0,0,0,2.6,1.35
22Month,0,0.96,3.55,0,0,0.14,0,0.14,0.55,0.27,16.26,0.55,3.14,0.14,0,0,1.09,11.89,0.41,0.55,0.41,0,0,0,1.37,0,0,5.47,0,0,0,0.14,0,0.82
