stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,1,0,5,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,190,44,0,0,0,0,0,0,0,0,0,108,0,0,0
72hpf,9.58,3.38,0,10.71,1.97,14.09,0,0.56,0.28,0.56,0,0,0,4.79,18.88,0.85,19.73,0,0.28,1.13,0.28,271.14,66.23,0.28,1.41,0,19.73,0.56,0,9.3,0.56,0.28,170.52,0,0,0
21Day,1.85,0,1.48,10.36,0,9.62,0,1.11,0.74,3.7,0,2.96,1.11,0.37,4.07,3.33,12.58,0,0,1.11,0,56.98,6.66,0,0,0,4.07,8.14,0.74,0.74,1.11,3.33,108.41,0,0,1.85
3Month,0,0,0,0.83,0,0,0.1,0,0.1,1.04,0.31,0,0.31,0.21,0.21,0,0.21,0.1,0,0,0,0,0,0,0,0,0,0.21,2.81,0,0,0,3.64,0.21,4.58,0.21
22Month,0,0,0,0.41,0,0,0,0,0,1.09,0,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0.14,0,0,1.09,0,0,0,0,0,0,0.14
