stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0.56,0,0,0.28,0.56,0,0,0.28,0,0,0,0,0,0
21Day,2.96,0.74,0,4.07,0,0,0,0,0,0,0,0,0.37,0,2.22,0,1.85,0,0,0,0,1.48,0,0,0,0.37,0,0,0,0,0,0
3Month,0.31,4.26,0.21,8.01,0.1,0.21,0.1,2.08,1.56,0,6.97,0.42,0,0.52,9.47,0,0.42,0.21,0,0.1,0.31,0,0,0.1,0.21,0.42,0.31,0.83,0.1,0.31,1.66,0.21
22Month,0.14,3.01,0.41,1.5,0.14,0,0,0.27,2.05,0.41,11.75,0.14,0.41,0.96,1.64,1.09,0.55,0,0.27,0,0.14,0.14,0,0,0.27,0,0,0.27,0,0,0,0.41
