stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.85,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.59,0,0,0.37,0,0.74,0,0.37,0,0,0,0,0.74,1.11,0,0,0,0,0.74,0,0,0,0,0
3Month,0.21,0.21,2.29,4.06,0,0.21,1.04,0.73,0,122.32,1.77,0,32.14,0.94,0.83,0.73,1.14,0.21,0.21,0.1,0.31,0.31,0,0.42,0,0,0.21,2.5,0.42,0,0,0.31,0.62
22Month,0.14,0.27,3.01,2.05,0.14,0.96,1.91,1.5,3.55,318.94,0.41,0.27,22.55,0.41,0.41,0.41,0.96,0,3.01,0.41,0,0,0,0.41,0.27,0.14,0,0.55,0,0.27,0.14,0,0.55
