stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0
72hpf,1.13,0.28,0,0,0,0,0,0.28,0.56,0,0,34.95,1.69,0,0.28,0,0.28,1.41,4.23
21Day,0,0,0.74,0,0.37,0,0,0,0,0.37,0,6.29,0.74,0,0,0.37,0,6.29,7.4
3Month,0,0,0.62,0,0.21,0.21,0.21,0.1,0,0,0.1,1.87,0,0.1,0,0,0,0,0
22Month,0,0,0.14,0.14,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0
