stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,1.13,0.28,0.28,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0.37,0,0,0,0,0,0,0
3Month,0.21,0.1,3.54,0,0.1,0.21,0.52,2.08,0.94,0.31,1.98,0.31,0.52,0.73,0.83,0.1,0.21,0.21,0,0.1,0,0.21,7.91,0,0.31,1.56,0.52
22Month,0,0,0.14,0.14,0,0.14,0.41,3.96,0.55,0.14,1.37,0,0.14,0.55,0.27,0,0,0,0,0,0,0,0,0,0,0,0
