stage,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Spermatocyte
21Day,0.74,0,0,0,0,0,0,0,0.37,0.37,0
3Month,0.1,0.1,0,0.73,0,0,0,0.1,0,0,1.66
22Month,0,0,0.14,16.4,0.14,0.27,0.68,0,0.27,0.27,0
