stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Osteoblast
24hpf,5,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0.85,1.13,6.76
21Day,0,0.37,0,0,0,1.11,0.37,4.07
3Month,0,0.1,0.31,0.1,0,0,0.21,0
22Month,0,0,0.41,0.14,0.14,0,0,0
