stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0.21,0.1,0,0.52,0.21,0.1,0.1,0,0.1,0.31,0.1,0.1,0.1,0.21,0.1,0.1,0.1,0.21,0.1,9.78
22Month,0.14,0.14,0,0.14,0.82,0,0,0,0.14,0.41,0.14,0,0,0,0,0,0,0,0,0,1.09
