stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,5,1,0,7,1,0,0,0,0,0,0,8,0,0,0,0,1,0,2,14,0,0,0,0,51,110,0,0,11,0,0,0,0,0,0,0,0
72hpf,11.56,1.41,0,4.51,1.13,7.05,0,0,0,0.28,0,0.28,0,0,0,0,3.1,15.78,2.82,19.17,0,1.13,0,0,1047.91,91.88,0.85,0.85,24.8,0.28,0,8.74,1.41,0.28,1.97,0,0
21Day,4.81,0.74,0.37,6.66,0.74,9.99,0,0,0,0,0,0,0,0,0.74,1.11,0.37,7.77,2.96,16.65,0,0,1.11,0,245.67,34.41,0,0.74,8.51,4.44,0,2.22,1.11,2.22,0,0,1.48
3Month,0,1.46,0.42,1.14,0.1,0,0.21,1.46,0.42,1.77,0,0,1.87,0.42,0.21,0.73,0.21,0.31,0.94,13.21,17.58,0,0.73,0.1,1.56,0.42,0.21,0,0.21,0.31,1.46,0,0,0,0.1,0.62,0.21
22Month,0,1.5,0.14,0.68,0,0,0,0.68,0.41,1.23,0.14,0,9.57,0.41,0.14,0.55,0,0.14,1.09,8.75,3.01,0.27,0.14,0,1.91,0.68,0.41,0,0,0.14,2.73,0,0.14,0,0,0.14,0
