stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,0.28,0.28,0,0,0,0,0.56,0.28,0.28,0,0,0,53.27,1.41,0,0.28,0,0.28,9.3,4.23,0.28
21Day,0,0.74,0.37,0,0,0,0,0,1.11,0,0,0,11.84,1.11,0,0.37,0.37,0,4.07,3.7,0.37
3Month,0,0.21,0,0,0,0.21,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0
22Month,0.14,0,0,0.27,0.14,1.37,0,0.27,0,0,0.27,0,0.14,0,0.14,0,0,0,8.75,0,0
