stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.1,0.1,0.31,0.1,0,0.1,0,0,0.1,0,0.1,0,0
22Month,0,0,1.37,0,0.14,0,0.14,0.27,0.14,0,0,0.14,0
