stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
24hpf,0,1,0,0,0,0,0,0,3,0,0,0
72hpf,0,0.28,0,0,1.69,0,0,0.56,0,0.56,0,0.28
21Day,0.74,1.11,0.37,0,1.48,0.37,1.85,0,0.37,1.11,0.37,0
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0
