stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,13,0,0,0,0,0,1,0,0,0,0,1,0,38,0,0,0,4,63,15,0,0,0,0,0,0,0,0
72hpf,1.41,1.13,3.1,0.28,1.41,0,0,0,0,0,0,0,0.28,14.09,0.28,55.52,0,0,0.56,8.17,6.48,69.62,0,0,0.56,0,1.69,0,0,0
21Day,0,0,1.48,0,1.48,0,0,0,0,0.37,0.37,0,0,3.33,0,33.67,0,0,4.44,1.11,1.48,31.82,2.22,0,0.37,0.37,0.37,0,0,0
3Month,0,0.1,0.21,0,0,0,0.42,0,0,0.42,0.1,0,0.21,0.83,0,2.7,0.83,0,0.21,0.1,0,0.1,0,0.42,0,0,0,0.1,0.1,0.1
22Month,0,0,0.41,0,0,0.14,0.14,0.14,0,3.96,0,0.41,0,0.14,0,0.68,0.14,0.41,0.27,0,0,0,0,0,0,0,0,0,0,0
