stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0.85,1.41,0,0,0.56,0,0,0,1.97,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,2.96,0,0,0,0,0
3Month,0.31,1.56,1.66,21.32,0.21,0,0.94,0.1,0.1,4.47,8.43,0.1,37.45,8.32,0.42,12.27,2.29,8.63,6.55,6.97,0.94,0.21,2.18,2.7,1.04,0.21,0.94,0.94,0.21,4.58,0.1,104.12,0.52,0.21,4.16,624.83,6.66
22Month,0,0.41,0,0.14,0,0,0.14,0,0,0.14,0.41,0,3.96,0.41,0,0.96,0,0.14,0.27,0.27,0.27,0.14,0,0,0.14,0.14,0,0.14,0,0,0,15.3,0.14,0,0,2.05,0.14
