stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0.28,0,1.69,0,0,0,3.95,3.38,0,0.28,0.28,0.28,0.56,0,0,0
21Day,1.11,0,0.37,2.22,0.74,0,0.74,0,0,0,0,0,0.37,1.11,0.37,2.59,0,0,0.37,1.85,2.59,0,2.22,0,0,0.37,0.37,0,0
3Month,0,0,0,1.98,0,0,0,0.42,0,3.33,0.52,0.31,0.83,0.62,0.52,0.73,0.21,0,0.21,0.1,0,0.42,0.1,0.21,1.14,0,0,0.21,0.42
22Month,0,0.41,0,0.14,0,0.14,0,1.23,0.14,8.88,0.27,0.14,1.78,0,0.68,0.55,0,0.41,0,0,0,0,0.14,0,0.14,0,0,0,0.41
