stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,1.41,0,0,0,0,0,1.41,1.97,1.97,2.25,0,0,0,0,7.89,2.25,0,0,0,1.69,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,2.59,0,0.37,0.37,0.74,0.74,0,0.37,3.7,4.44,0,0,1.85,0,1.48,0.74,0.37,0.37,0,0.74,0.37,0,0.74,0,0,0,0,0.37
3Month,0.1,0.1,0.31,2.5,0.1,0,0.62,0.21,0,55.34,0.21,0,8.01,0.73,0.31,0.52,1.77,0.42,0.31,0,0.31,0.1,0,0.52,0.21,0,0.1,1.04,1.04,0.31,0,0.1,0,0.42,0.42
22Month,0.41,3.28,2.05,10.11,0.55,2.19,5.06,252.12,2.19,194.73,13.53,1.5,120.25,0.68,2.19,87.46,11.34,0.82,3.83,3.69,0.14,2.32,0.68,3.96,2.6,0.55,0.41,0.68,9.29,2.05,0.27,0.27,0.55,0.14,4.37
