stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,129,0,0,0,0,0,0,0,0,1,0,0,4,0,19,0,0,1,12,65,0,0,4,0,0,0,0,0,0,0,0
72hpf,1.41,30.16,0.56,0.28,0,0,0,0,0,0,0,0,0.28,6.48,0,6.2,0,0,0,59.47,20.01,0,0,4.79,0,0,0.56,0,0,0,0,0
21Day,0.37,17.76,0,1.48,0.37,0,0,0,0.37,0,1.11,0,0,7.03,0.37,25.53,0,0.74,0,31.08,17.39,0,0,4.07,4.44,0,0.74,0.74,0.74,0,0,0.37
3Month,0,4.47,0,0,0,0.21,0.1,0.1,0.94,0.1,0,0.52,0.1,6.24,0.21,15.08,0,0.1,0.21,0.1,0.1,0.21,0.1,0.1,0,0.83,0,0,0,0.21,0.73,0.31
22Month,0,1.09,0,0,0,0,0.14,0,3.28,0.14,0.14,0,0,0.82,0.14,2.19,0.41,0.27,0,0.14,0,0,0,0,0,0.82,0,0,0,0,0,0.14
