stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,24.24,1.97,0,0,5.64,0,0,0.85,0,0,0,0,0
21Day,5.18,0.37,0.37,1.11,2.22,0,0,0.37,0,0,0,0,0.37,0.37,0,2.22,0.37,0,38.85,1.48,0,0,3.7,0.74,0,1.11,0.74,0.74,0,0,0.37
3Month,0,0.1,0,1.66,0,0.1,0.1,0.1,1.14,0.21,0.1,0.83,0.21,0.42,0.21,0.62,0,0.1,0.21,0,0.21,0,0.21,0.1,2.08,0,0,0,0.1,25.59,0.42
22Month,0,0,0.14,0.68,0,0,0,0.27,3.96,0,0,0.27,0,0,0.27,0.14,0,0,0.55,0,0.14,0.14,0,0,0.14,0.14,0,0,0,0,0.14
