stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,40,1,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,3,313,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,3.38,0,0,3.95,0.85,0,0,0,0,0,0,0,2.82,2.54,0.28,4.79,0,0.28,0,0,29.31,7.33,0.28,0,11.84,0,0,0.85,0,0,0,0,0,0
21Day,2.96,0,0.74,4.44,0.74,0,0.37,0,0,0,0,0,0,1.48,1.11,34.41,0,0,0.37,0,4.07,1.48,0,0.37,26.64,0.74,0,0.37,0,0.74,0.37,0,0,0
3Month,0,0.1,2.91,3.74,0,0,1.87,0.73,1.77,0.31,0.1,0.42,0.1,1.46,0.31,24.34,0.52,0,0.83,0.1,0,0,0.83,0,0,0.21,1.04,0.21,0,0,0,0.21,1.14,0.31
22Month,0,0.68,2.46,2.05,0,0.27,2.05,0.27,5.06,0,0.14,0.14,0.14,0.27,0.82,25.14,0,0.14,0.27,0,0,0,0.14,0.14,0,0,1.23,0.14,0.14,0,0,0,0,0.27
