stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,0,0,0,0,0,0,0,0,0,0,18,1,13,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,1.69,0.28,0,0,0.28,0,0,0,0,0,0,10.15,7.05,6.76,0.28,0,0,0,0,16.07,1.69,0.28,0,3.1,0,0,0,0,0.56,0,0,0
21Day,1.11,0.37,0.37,59.2,3.33,0,1.48,0.37,0,0,0,0,1.85,0.74,0.74,101.75,27.75,4.44,0,0,1.11,0,5.92,1.85,0.37,0,1.85,2.96,0.37,0.74,0.74,1.48,0,0,1.11
3Month,0.1,0.31,0.1,61.16,0,0.1,0,0.1,0.52,0,2.81,1.04,0.21,2.5,19.45,1.77,37.34,1.66,0.1,0,0.1,0.31,0.42,0,0.31,0,0.42,0.31,1.56,0,0,0,0.31,0.73,1.14
22Month,0,2.73,0.41,16.81,0,0,0,0.41,0.96,0.14,3.14,0.27,0.55,0.27,3.42,1.64,20.63,1.09,0,0.14,0.14,0,0.14,0,0.14,0.41,0.14,0,0.82,0,0,0,0,0,1.64
