stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0.85,6.76,0.85,1.97,0,0,0,0,1.13,0,0,0,3.38,0,0,0.56,0,0,0,0,0
21Day,0.37,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0.37,0,4.81,0.37,1.48,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0
3Month,1.35,7.28,3.95,281.68,0.31,4.89,0.94,0.42,9.88,23.4,0.1,0,74.16,27.46,1.98,41.71,7.28,27.56,20.18,29.54,5.82,0.94,5.72,4.68,3.02,0.31,3.43,1.77,1.56,7.91,18.52,1.04,0.1,0.42,7.59,10.92,27.67
22Month,0.14,0.68,0.41,9.02,0.14,0.27,0,0,0.55,0.96,1.64,0,16.4,0.27,0.27,2.73,0.14,0.55,1.23,4.1,0,0.82,0.14,0,0,0.14,0.14,0.14,0.27,0,0,0.14,0,0,0,0,0.68
