stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
72hpf,0,0.56,0.85,3.1,0.28,0.28
21Day,0.37,0,0.37,2.22,0,0
