stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,2.54,0.28,0.56,0,0,0,0,7.61,1.41,0,0,0,0,0,0.56,0,0,0,0
21Day,0.37,0,0,4.44,0.74,0.74,0.74,0,0,0,0,0,0,1.11,0.37,0,0.37,0.74,0.37,0,0,0,0,6.66,2.22,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0,0,5.93,0.21,0,0,0.1,0.31,0.21,0,3.54,0,0.1,1.56,0.83,1.14,0.21,0.42,0.31,0,0.21,0.1,0.42,0.1,0.21,0,0,0.1,4.06,0,0.1,0.1,0.31,1.25
22Month,0,1.5,0.27,6.56,0,0,0.14,0,1.37,1.23,6.15,24.73,0.41,0.96,3.69,0.82,0.96,1.78,1.09,0,0.96,0.14,0,0.55,0,0.96,0.68,0.41,0.41,0.82,0,0,0,0,1.78
