stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0,1.97,0,3.95,0,0,0,0,1.69,1.41,0,0,0,1.97,0,0,0,0.28,0,0,0
21Day,0,0,0.74,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.74,0,0,0,0.37,0,0,0,0,0,0.37,0
3Month,0.83,0.62,6.66,0,0,0.1,0,0.1,0.83,1.56,0,10.71,1.66,0.1,2.5,1.25,1.56,1.46,1.56,0.1,0,0.62,1.66,0.31,0.31,0.31,0.21,0,0.31,0.83,0.21,27.56,0.21,1.14,372.17,0.83
22Month,0.82,0.14,1.23,0,0,0,0,0,0,0,0.82,8.2,0,0,0.41,0,0,0.14,0.27,0,0.27,0.14,0,0,0,0.14,0,0.14,0,0,0,3.14,0,0,1.09,0
