stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0
72hpf,4.23,0.28,0,2.54,1.13,1.41,0,0,0,0,0,0,0,2.25,10.43,0.28,6.76,0.28,0,0.28,368.94,21.42,0.28,0,7.61,0,0,2.82,40.02,40.87,0.56,0,0
21Day,3.7,0,0.37,8.88,0,3.7,0,0.37,0,1.11,1.85,1.85,0.74,1.11,8.51,2.59,11.84,0,1.11,0,52.17,7.03,0,0.37,4.07,2.59,0,1.11,37.37,125.43,1.11,0.37,2.96
3Month,0,0.1,0,1.35,0,0,0.1,0,1.14,0,0.62,0,4.37,0.83,0.21,0.31,0.31,0,0.1,0.94,1.56,0.1,0.1,0,0,0.1,0.1,0.1,1.25,0.31,0.1,0.31,0.42
22Month,0,0.14,0.14,0.55,0,0,0.14,0,0.41,0.14,1.09,0.14,6.97,0.14,0,0,0.14,0.14,0.14,0,0.96,0,0,0.14,0,0,0.14,0.41,2.46,0.27,0,0,0.14
