stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,4,0,0,0,0,0,0,0
72hpf,25.65,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.56,0,0,3.38,0.56,0.28,0,0,0.28,0.56,0,0
21Day,7.03,0,0,0.37,0,0,0,0,0,0.37,0,0,0,1.11,0.74,0,0,1.48,0.37,1.11,0,0.37,0.74,0,0,0
3Month,6.76,0.1,0,0.73,0.1,0.1,0.21,1.77,0.31,0,0.42,0.1,0.42,0.52,0.52,0,0.21,0,0,1.25,0.1,0.1,6.87,0,4.47,0.31
22Month,3.42,0.14,0.27,0.55,0,0,0.27,3.14,0,0.14,0.14,0,0,0.14,0.82,0.27,0,0.14,0,0.27,0,0,10.93,0,0,0.27
