stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,59,0,0,0,0,3,13,0,0,39,0,0,0,0,0,0,0,0
72hpf,1.69,0.56,0,2.25,0.28,0.85,0,0,0,0,0.28,0.28,0,0,0,0,0.85,1.13,0,71.31,0,0,0.56,0,4.79,4.51,0.28,0,47.63,0,0,0.85,0,0.85,0,0,0
21Day,4.44,4.81,0.74,9.99,0,0.74,0,0.74,0,0,0,0,0,0,0.74,1.48,0.74,10.36,0.74,123.58,0.37,0,0.74,0,4.81,4.44,0,0,54.02,1.85,0,0,0.37,2.59,0,0,0
3Month,0.1,20.7,0.31,86.85,0,0,0.62,0,4.58,0.73,3.33,0,5.72,2.08,0.1,4.06,1.98,31.73,3.12,38.07,28.29,0.21,0.31,0.21,0.31,0.21,0.1,0,0.1,1.14,1.56,0,0,0.21,0.42,0.31,1.35
22Month,0,15.3,0,12.71,0,0,0.14,0,1.09,0.14,2.05,0.14,8.34,0.14,0.14,3.01,0.41,10.52,1.91,33.89,5.47,0.14,0.27,0,0.55,0.14,0.27,0.27,0.27,0.27,1.23,0,0,0.27,0,0,0.14
