stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,2.54,1.69,0,0.28,0.56
21Day,0,0,0.74,0.37,0.37,0.37,0.74,0.74,0.37,1.11,1.48,0.37,0,0
