stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,2,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,84,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0.28,0,0,0,0,0,0,0,0.28,0.56,0.56,3.95,0,0,0,4.23,8.46,0,2.82,0,0,1.97,0.28,0.28,0,0
21Day,0.74,0,3.33,0.37,0,0.37,0,0,0.37,0.37,0.37,0,0.37,0,8.88,0,0.37,0,1.11,7.4,0,6.66,0.74,0,0.74,0,0,0,0
3Month,0,0.1,2.81,0,0,0,0.21,1.46,0.42,0.1,0.1,0,0.62,0.21,3.85,0.83,0.1,0.1,0,0.31,0.21,0.21,0.31,0.42,0,0,0.21,0.83,0.94
22Month,0.14,0,0.27,0,0.14,0,0.27,4.92,0.14,0.14,0.41,0,0.14,0.14,2.6,0,0,0,0,0.14,0,0,0.14,0,0.27,0,0,0,0.14
