stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.28,0,0,0.28,0,0,0,0,0,0.28,1.69,0,1.97,0,0,0,0,7.33,1.13,0,0,1.13,0,0,0,0.28,0,0,0,0
21Day,1.11,0.37,0,3.33,1.11,0,0,0,0,0.37,0,2.59,0,1.48,2.59,0.74,8.14,0,0,0.74,0.37,7.77,0,0,0.37,0.74,1.11,0,0.37,2.22,0,0,0,0.37
3Month,0,0.62,0.1,4.37,0,0.21,0.52,2.08,0,10.19,1.87,0.21,1.77,0.73,1.87,0.52,1.46,0.21,0.1,0,0.42,0.31,0,0,0.62,0,0.21,0.31,0.21,0,0.1,0.83,0.31,2.39
22Month,0,0.68,0.14,1.37,0,0,0.27,4.24,0.41,12.44,0.68,0.82,0.41,0,0.55,1.91,1.09,0.14,0.55,0,0,0.14,0,0.41,0.14,0.14,0,0.14,0,0,0,0,0,0.55
