stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,7,1,0,0,3,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0.56,0,0,0,0,0,0,0,0.28,0.28,7.89,0,0,0.28,0,2.54,1.97,0,0,0,21.42,0.56,0,0.28,0,0,0,0
21Day,0.37,1.11,0,0.74,0,1.48,0,0.37,0.37,0,0,0.37,0.37,0,27.38,0,0,4.44,0,0.37,0.74,0,0,0,55.5,0.74,0,0,0.37,0,0,0.37
3Month,0.1,0.42,0,2.5,0,0,0.42,0.83,0,2.18,0.42,0.83,0.73,0.52,66.47,12.27,0,0,0.1,0,0,0.1,0.21,0,0.62,0.83,0.21,0.52,0,0.31,0.1,0.42
22Month,0.14,0.82,0.14,1.09,0,0,0.27,0.55,0.55,5.47,0.82,0.14,0,0.27,42.77,0.82,0.14,0.14,0,0.14,0.14,0,0,0.14,0,0,0,0.27,0.14,0.27,0,0.14
