stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,2,2,10,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.85,0,0.28,0.56,0,0,0,0,0,0,0.85,1.69,47.07,0,0.28,0.28,29.31,12.12,0,0,56.93,0,0,2.82,0,0,0,0
21Day,2.22,1.11,1.48,0.37,1.85,0.37,1.11,0,0.74,0,0,2.22,2.96,60.68,0,0,12.21,17.76,1.48,0,0.37,4.44,2.59,0,1.48,0.74,1.11,0,1.85
3Month,0,0.21,0.52,0,0,0.94,0.31,0.42,0,0.42,0,0.1,0.21,4.26,0.1,0,0.83,0.42,0.1,0.1,0.1,2.18,0.1,0.62,0.1,0,0.62,0.62,0.31
22Month,0,0,0,0,0,0.14,0.27,0,0,0.14,0.14,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
