stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0.85,0,0,0,0,0,0,0,0,1.97,0.28,0.56,0,0,0,0,1.69,2.25,0.56,0,0,0.28,0,0,0,0
21Day,0,0,1.48,0.37,1.48,0.37,0,0,0,0.37,0,0,0.37,0.37,0.74,0.74,0,0,0,0,0.37,0.37,0.74,0,0.37,0,0.37,0,0,0.37
3Month,0,0,1.25,0,0,0,0.1,0.1,0,1.14,0.21,0.21,0.1,0,1.46,0.42,0.21,0,0.21,0.1,0,0.1,0,0.1,0.73,0,0,0.1,1.46,0.21
22Month,0,0.27,1.09,0,0,0,0.14,0.41,0.27,5.33,0,0.27,0,0.14,1.64,0.41,0,0.14,0.14,0,0,0.14,0,0,0.55,0,0,0,0,0
