stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,2.25,0,2.25,0,0,0,0,0,0,0,0,0.56,1.97,0.56,7.61,0,0,1.41,0.56,11.27,5.36,0,0.28,412.91,0.56,0,1.41,0,0.28,0,0,0
21Day,0.74,0,0,1.85,0.74,1.85,0,0,0.37,0,0.37,0,0.74,0,0,1.11,1.11,15.91,0,0,13.32,0,2.22,0.74,0,0.37,197.2,1.48,1.48,0,1.11,0.37,0,0,0.37
3Month,0,1.25,0,2.6,0,0,0,0.1,1.25,0,3.85,1.04,0.1,1.04,0.21,1.25,3.33,34.01,2.39,0,26.94,1.46,0.1,0.1,0.42,0,77.08,0.21,4.37,0.21,0,0.1,1.04,1.98,0.73
22Month,0.14,0.27,0.14,2.05,0,0,0.14,0.27,1.09,0.55,10.11,1.09,0.14,1.64,0,0.14,2.6,4.92,0.14,0.27,13.53,0.14,0.14,0,0.14,0.14,64.23,0.41,2.32,0,0,0,1.23,0,0.55
