stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,3.33,0,0,0,0,0,0.74,0,0.74,2.22,4.81,1.11,0,0,0,0.37,0,0,0,0,0,0.37
3Month,0.31,12.48,0.21,0.21,0.21,1.98,0.1,0.1,1.87,6.35,0.52,3.95,0.1,0,0.1,0.1,0.52,0.1,0.21,0.31,0.1,0.31,0.31
22Month,0,2.19,0,0,0.41,5.19,0,0,0.27,0.41,0.14,1.64,0.96,0.14,0.14,0,0.14,0.14,0,0,0,0,0
