stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.89,1.41,0,12.97,1.41,12.12,0.56,0,0,0.28,0,0,0,2.82,22.27,1.13,35.23,0,0.28,0.28,1.13,123.17,53.27,1.13,1.69,25.65,0,0.28,9.86,0.56,0,1.69,0,0
21Day,11.84,3.7,1.48,48.47,0.74,32.93,5.55,2.59,0.74,12.95,1.85,11.84,5.92,2.96,21.83,12.21,73.63,0.37,0.74,6.29,1.11,65.49,34.04,0.37,2.59,20.72,10.73,0.37,6.29,2.22,11.1,1.85,0.37,11.47
22Month,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
