stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,1.97,1.97,0.28,0.85,0,0,0.28,0,0,0
21Day,0.37,0.74,0.37,0,0,0.37,0,0,0.37,0,0.74,0.74,0,0,1.85,1.85,0,0.37,0,0.74,0,0,0,0.74
3Month,0,0.94,0,0.1,0.21,0.1,1.14,0.1,0.1,0.42,0.1,0.1,0.1,0.21,0.31,0,0,0,1.25,0,0,0.1,1.25,0.31
22Month,0,0.41,0,0,0,0.14,1.64,0,0,0,0,0.27,0.27,0,0,0,0,0,0.27,0,0,0,0,0.14
