stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.56,0,0,0,0,0,0,0,0,0.56,1.41,0,0.85,0,0,0,12.97,3.95,0,1.69,0,0,1.13,0,0.28,0,0,0
21Day,0,0,1.11,1.48,0.37,0,0,0,0,1.85,0,0,0.74,0.37,1.85,0,0.37,0,5.55,1.48,0,1.11,0.37,0,0.37,0.74,0.74,0,0,0.74
3Month,0,0,0.62,0,0.21,0.21,0,0.52,0.31,0,0.42,0,0.31,0.21,0.31,0.1,0.21,0.21,0,0,0.1,0.1,0.1,1.04,0,0,0,0.1,1.04,0.52
22Month,0,0,0,0,0,0.27,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27
