stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,1.85,0,0,0,0,0.37,0,0.37,0,0,0,0.74,0,0.37,0,0
3Month,0,0.1,0.94,0,0.21,0.42,0.52,2.08,0.42,0,0.52,0.31,0.31,0.42,0,0.1,0,0.1,0.1,0.1,0,0.1,0,0,4.26,0,102.77,0.1
22Month,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0.14,0.14,0,0.14,0,0,0,0,0.14,0.14,0.14,1.78,0,0.68,0
