stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0.85,0,0,0,0,0,0.85,0,0.28,0,37.49,24.24,1.69,0.28,12.97,0.56,0,0.85
21Day,0.74,0,0.74,0,1.11,0.37,0,0,0.37,0,0,0,1.11,0,18.5,7.77,0.37,0.37,3.33,0,0.37,0
3Month,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0
22Month,0,0.14,0.14,0,0,0,0.14,0.41,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0
