stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,5.36,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0,0.37,9.99,0.37,0,0.37,0,0,0,0,0,0,0.37,0,1.48,0,0.37,0,0,0,0,1.85,0,0,0,0.74,0.37,0,0.37,0,0,0,0,0
3Month,0.1,0.73,0.31,22.05,3.33,0,0.31,0.1,1.04,2.39,0,8.74,3.43,0.1,3.22,4.37,2.5,2.29,2.6,0.1,0,0.52,1.35,0.83,0.21,0.73,0.42,0.52,1.56,0.1,25.17,0.21,0.1,0.94,235.39,2.81
22Month,0,0,0.14,3.01,0.14,0,0,0,0.14,0.41,0,1.5,0,0,1.09,0.82,0.14,0.14,0.41,0,0.14,0.27,0,0.14,0,0.27,0.14,0,0,0,17.22,0.14,0,0,0.68,0
