stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0.28,0,0.28,0,0.28,0,0,0,0,0
21Day,0.37,0,0.37,0,0.37,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0.37,0,0.37,0.37,0,0,0.74,0,0,0,0,0,0,0
3Month,0,0.21,1.87,0.1,0,0.1,0.31,0.31,1.66,0.21,0,0.94,0.1,0.62,0.52,1.25,0,0.21,0.1,0,0,0.1,0.1,0,0.21,1.46,0.1,0.1,0,67.72,0.31
22Month,0,0.14,0.68,0,0.14,0,0.27,0.41,2.19,0.14,0,0.55,0,0,0.27,0.14,0.14,0.14,0,0.14,0,0.14,0,0,0.14,1.64,0,0,0.14,0.14,0
