stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0.56,0.56,0.28,0.56,38.61,1.13,0.28,0.56,0.28,0.28,0,0.85,0.28,0.28
21Day,0.37,0.74,0,0,0,0,0,0.37,3.7,1.85,0,0.37,10.36,0.37,0,1.11,0.37,0.37,0,1.11,0,0
3Month,0,0.21,0.1,0,0.1,0,0.1,0.21,0.21,0.1,0.31,0.31,0,0,0.31,0.21,0,0,0,0,0,0
22Month,0,0,0,0.14,0.27,0.14,1.64,3.01,0.14,0.27,0,0.14,0,0,0.41,0.27,0,0.14,0.14,0.82,0,0
