stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,8.46,0,0.56,0,0,0,0,0,0
21Day,0,0,5.55,0,2.59,0,0,0.37,0.37,0,0
3Month,0,0.1,0,0,0,0,0.21,0.21,0,0,0.1
22Month,0.14,0.14,0,0.14,0,0.14,1.64,0.27,0,0.27,0
